customer_id,age,age_band,gender,item_purchased,category,purchase_amount_usd,location,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,discount_flag,subscriber_flag,repeat_customer_flag,purchase_cycle_days,customer_segment,revenue_per_purchase_day
64,33,25-34,Male,Sunglasses,Accessories,79,Arizona,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,True,True,True,7.0,Loyal high-value,11.285714285714286
65,65,50+,Male,Boots,Footwear,83,Alabama,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,True,True,True,14.0,New or occasional,5.928571428571429
66,65,50+,Male,Backpack,Accessories,36,New Jersey,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.4
67,31,25-34,Male,Blouse,Clothing,94,Pennsylvania,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,True,True,False,90.0,New or occasional,1.0444444444444445
68,45,35-49,Male,Coat,Outerwear,33,Connecticut,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,True,True,True,30.0,Subscribed repeat,1.1
69,57,50+,Male,Handbag,Accessories,46,Utah,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,True,True,True,90.0,Promotion-led growth,0.5111111111111111
70,48,35-49,Male,Belt,Accessories,70,Tennessee,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,True,True,False,7.0,New or occasional,10.0
71,22,Under 25,Male,Belt,Accessories,29,Alabama,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.32222222222222224
72,36,35-49,Male,Dress,Clothing,48,Virginia,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,True,True,True,30.0,Subscribed repeat,1.6
73,18,Under 25,Male,Dress,Clothing,26,Georgia,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,True,True,True,90.0,Promotion-led growth,0.28888888888888886
74,48,35-49,Male,Pants,Clothing,85,Hawaii,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,True,True,True,14.0,Loyal high-value,6.071428571428571
75,49,35-49,Male,Gloves,Accessories,58,Indiana,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,True,True,False,30.0,Promotion-led growth,1.9333333333333333
76,64,50+,Male,Scarf,Accessories,85,Utah,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,True,True,True,30.0,New or occasional,2.8333333333333335
77,50,50+,Male,Hat,Accessories,43,Delaware,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,True,True,True,30.0,Subscribed repeat,1.4333333333333333
78,22,Under 25,Male,Dress,Clothing,53,Delaware,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,True,True,True,14.0,Subscribed repeat,3.7857142857142856
79,50,50+,Male,Skirt,Clothing,91,Nebraska,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,True,True,True,14.0,Loyal high-value,6.5
80,38,35-49,Male,Jacket,Outerwear,96,Iowa,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,True,True,True,90.0,Loyal high-value,1.0666666666666667
81,19,Under 25,Male,Sandals,Footwear,72,New York,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,True,True,True,90.0,New or occasional,0.8
82,67,50+,Male,Shoes,Footwear,96,Virginia,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,True,True,True,90.0,Loyal high-value,1.0666666666666667
83,19,Under 25,Male,Pants,Clothing,28,Georgia,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,True,True,True,90.0,Promotion-led growth,0.3111111111111111
84,36,35-49,Male,Dress,Clothing,40,Texas,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,True,True,True,7.0,Subscribed repeat,5.714285714285714
85,52,50+,Male,Coat,Outerwear,32,Arizona,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.35555555555555557
86,53,50+,Male,Sunglasses,Accessories,95,New Mexico,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,True,True,False,14.0,New or occasional,6.785714285714286
87,24,Under 25,Male,Hoodie,Clothing,41,Nevada,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,True,True,True,14.0,Subscribed repeat,2.9285714285714284
88,52,50+,Male,Shoes,Footwear,53,Ohio,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,True,True,True,14.0,Subscribed repeat,3.7857142857142856
89,33,25-34,Male,T-shirt,Clothing,47,Wyoming,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,True,True,True,30.0,Subscribed repeat,1.5666666666666667
90,47,35-49,Male,Jacket,Outerwear,83,California,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,True,True,True,90.0,New or occasional,0.9222222222222223
91,25,25-34,Male,Hat,Accessories,48,South Carolina,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,True,True,True,30.0,Subscribed repeat,1.6
92,44,35-49,Male,Scarf,Accessories,99,South Carolina,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,True,True,True,90.0,New or occasional,1.1
93,61,50+,Male,Jacket,Outerwear,87,Texas,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,True,True,True,90.0,New or occasional,0.9666666666666667
94,37,35-49,Male,Sweater,Clothing,62,Florida,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,True,True,True,7.0,Loyal high-value,8.857142857142858
95,58,50+,Male,Skirt,Clothing,76,Nevada,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,True,True,True,7.0,Loyal high-value,10.857142857142858
96,37,35-49,Male,Sneakers,Footwear,100,Missouri,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,True,True,True,30.0,Loyal high-value,3.3333333333333335
97,32,25-34,Male,Gloves,Accessories,73,Delaware,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,True,True,True,90.0,Loyal high-value,0.8111111111111111
98,21,Under 25,Male,Shoes,Footwear,92,Virginia,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,True,True,True,30.0,Loyal high-value,3.066666666666667
99,20,Under 25,Male,Jeans,Clothing,67,New York,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,True,True,True,30.0,New or occasional,2.2333333333333334
100,26,25-34,Male,Hoodie,Clothing,40,Missouri,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,True,True,True,90.0,Subscribed repeat,0.4444444444444444
101,62,50+,Male,Sunglasses,Accessories,98,South Dakota,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,True,True,True,14.0,Loyal high-value,7.0
102,27,25-34,Male,Coat,Outerwear,85,North Dakota,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,True,True,True,14.0,Loyal high-value,6.071428571428571
103,51,50+,Male,Socks,Clothing,67,Oklahoma,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,True,True,True,90.0,Loyal high-value,0.7444444444444445
104,54,50+,Male,Boots,Footwear,89,West Virginia,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,True,True,True,14.0,New or occasional,6.357142857142857
105,55,50+,Male,Sunglasses,Accessories,24,New Hampshire,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,True,True,False,30.0,Promotion-led growth,0.8
106,69,50+,Male,Backpack,Accessories,96,New York,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,True,True,False,30.0,New or occasional,3.2
107,64,50+,Male,Jacket,Outerwear,35,Minnesota,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,True,True,True,30.0,Subscribed repeat,1.1666666666666667
108,28,25-34,Male,Sneakers,Footwear,67,Maryland,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Fortnightly,True,True,True,14.0,Loyal high-value,4.785714285714286
109,70,50+,Male,Socks,Clothing,79,Montana,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,True,True,True,14.0,Loyal high-value,5.642857142857143
110,58,50+,Male,T-shirt,Clothing,85,Alabama,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Fortnightly,True,True,True,14.0,Loyal high-value,6.071428571428571
111,56,50+,Male,Backpack,Accessories,26,New York,Summer,4.0,Yes,Standard,Yes,26,Venmo,Fortnightly,True,True,True,14.0,Subscribed repeat,1.8571428571428572
112,26,25-34,Male,Belt,Accessories,75,Massachusetts,Summer,5.0,Yes,Free Shipping,Yes,9,Credit Card,Annually,True,True,False,30.0,New or occasional,2.5
113,37,35-49,Male,Gloves,Accessories,65,Florida,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly,True,True,True,14.0,Loyal high-value,4.642857142857143
114,44,35-49,Male,Hat,Accessories,54,New Jersey,Winter,3.1,Yes,Next Day Air,Yes,20,PayPal,Quarterly,True,True,True,90.0,Promotion-led growth,0.6
115,70,50+,Male,Coat,Outerwear,95,Massachusetts,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly,True,True,False,7.0,New or occasional,13.571428571428571
116,53,50+,Male,Skirt,Clothing,94,Wyoming,Spring,3.8,Yes,Standard,Yes,48,Debit Card,Every 3 Months,True,True,True,90.0,Loyal high-value,1.0444444444444445
117,55,50+,Male,Shoes,Footwear,86,Virginia,Spring,3.4,Yes,Free Shipping,Yes,12,Venmo,Annually,True,True,True,30.0,New or occasional,2.8666666666666667
118,50,50+,Male,Sandals,Footwear,32,South Dakota,Summer,4.6,Yes,Express,Yes,29,Cash,Fortnightly,True,True,True,14.0,Subscribed repeat,2.2857142857142856
119,50,50+,Male,Sweater,Clothing,45,Kentucky,Fall,4.8,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,True,True,True,14.0,Subscribed repeat,3.2142857142857144
120,38,35-49,Male,Coat,Outerwear,76,Wyoming,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,True,True,True,30.0,Loyal high-value,2.533333333333333
121,64,50+,Male,Hat,Accessories,84,West Virginia,Summer,4.0,Yes,Express,Yes,32,Bank Transfer,Annually,True,True,True,30.0,Loyal high-value,2.8
122,19,Under 25,Male,Shorts,Clothing,72,Virginia,Winter,4.2,Yes,Standard,Yes,11,Cash,Fortnightly,True,True,True,14.0,New or occasional,5.142857142857143
123,40,35-49,Male,Backpack,Accessories,40,Washington,Spring,4.8,Yes,2-Day Shipping,Yes,44,Cash,Fortnightly,True,True,True,14.0,Subscribed repeat,2.857142857142857
124,57,50+,Male,Sweater,Clothing,89,Louisiana,Fall,3.1,Yes,Free Shipping,Yes,46,Cash,Weekly,True,True,True,7.0,Loyal high-value,12.714285714285714
125,44,35-49,Male,Sweater,Clothing,86,Nevada,Spring,3.1,Yes,Next Day Air,Yes,50,PayPal,Annually,True,True,True,30.0,Loyal high-value,2.8666666666666667
126,49,35-49,Male,Shorts,Clothing,54,California,Winter,3.6,Yes,Next Day Air,Yes,45,Venmo,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.6
127,43,35-49,Male,Shorts,Clothing,36,Mississippi,Spring,3.9,Yes,Store Pickup,Yes,48,Cash,Every 3 Months,True,True,True,90.0,Subscribed repeat,0.4
128,24,Under 25,Male,Sweater,Clothing,89,Mississippi,Winter,4.8,Yes,Next Day Air,Yes,26,Credit Card,Weekly,True,True,True,7.0,Loyal high-value,12.714285714285714
129,20,Under 25,Male,Scarf,Accessories,32,California,Spring,4.7,Yes,Standard,Yes,21,Credit Card,Fortnightly,True,True,True,14.0,Promotion-led growth,2.2857142857142856
130,24,Under 25,Male,Dress,Clothing,67,Pennsylvania,Summer,4.2,Yes,2-Day Shipping,Yes,49,PayPal,Bi-Weekly,True,True,True,14.0,Loyal high-value,4.785714285714286
131,44,35-49,Male,Scarf,Accessories,39,Kentucky,Fall,3.7,Yes,Next Day Air,Yes,13,PayPal,Fortnightly,True,True,True,14.0,Promotion-led growth,2.7857142857142856
132,28,25-34,Male,Skirt,Clothing,29,Maine,Summer,3.9,Yes,Standard,Yes,46,Credit Card,Weekly,True,True,True,7.0,Subscribed repeat,4.142857142857143
133,30,25-34,Male,Backpack,Accessories,58,New Mexico,Fall,4.7,Yes,2-Day Shipping,Yes,42,PayPal,Weekly,True,True,True,7.0,Subscribed repeat,8.285714285714286
134,52,50+,Male,Sweater,Clothing,65,Montana,Winter,2.5,Yes,Next Day Air,Yes,25,Venmo,Annually,True,True,True,30.0,Loyal high-value,2.1666666666666665
135,43,35-49,Male,Hat,Accessories,94,Texas,Fall,4.9,Yes,Store Pickup,Yes,25,Cash,Monthly,True,True,True,30.0,Loyal high-value,3.1333333333333333
136,43,35-49,Male,Sandals,Footwear,81,Kansas,Fall,4.1,Yes,Express,Yes,12,PayPal,Quarterly,True,True,True,90.0,New or occasional,0.9
137,39,35-49,Male,Blouse,Clothing,86,South Carolina,Winter,3.3,Yes,Free Shipping,Yes,4,Debit Card,Quarterly,True,True,False,90.0,New or occasional,0.9555555555555556
138,68,50+,Male,Sneakers,Footwear,43,Colorado,Spring,4.7,Yes,Free Shipping,Yes,38,PayPal,Weekly,True,True,True,7.0,Subscribed repeat,6.142857142857143
139,68,50+,Male,Skirt,Clothing,29,Georgia,Winter,4.4,Yes,Store Pickup,Yes,42,Bank Transfer,Weekly,True,True,True,7.0,Subscribed repeat,4.142857142857143
140,49,35-49,Male,Coat,Outerwear,95,Florida,Fall,3.8,Yes,Store Pickup,Yes,30,Venmo,Annually,True,True,True,30.0,Loyal high-value,3.1666666666666665
141,63,50+,Male,Shirt,Clothing,28,North Carolina,Fall,3.9,Yes,2-Day Shipping,Yes,50,Credit Card,Weekly,True,True,True,7.0,Subscribed repeat,4.0
142,56,50+,Male,Gloves,Accessories,46,Virginia,Fall,4.9,Yes,Free Shipping,Yes,45,PayPal,Weekly,True,True,True,7.0,Subscribed repeat,6.571428571428571
143,37,35-49,Male,Jacket,Outerwear,58,Nebraska,Fall,3.1,Yes,Free Shipping,Yes,33,Credit Card,Fortnightly,True,True,True,14.0,Subscribed repeat,4.142857142857143
144,30,25-34,Male,Coat,Outerwear,48,Missouri,Fall,2.7,Yes,Store Pickup,Yes,25,PayPal,Quarterly,True,True,True,90.0,Subscribed repeat,0.5333333333333333
145,19,Under 25,Male,Shoes,Footwear,43,New Jersey,Fall,3.2,Yes,Express,Yes,25,Cash,Monthly,True,True,True,30.0,Subscribed repeat,1.4333333333333333
146,24,Under 25,Male,Jewelry,Accessories,95,Missouri,Fall,4.5,Yes,Standard,Yes,44,Debit Card,Quarterly,True,True,True,90.0,Loyal high-value,1.0555555555555556
147,52,50+,Male,Skirt,Clothing,30,Colorado,Fall,4.0,Yes,Standard,Yes,21,Venmo,Fortnightly,True,True,True,14.0,Promotion-led growth,2.142857142857143
148,63,50+,Male,Shoes,Footwear,64,Idaho,Summer,3.5,Yes,2-Day Shipping,Yes,31,Bank Transfer,Fortnightly,True,True,True,14.0,Loyal high-value,4.571428571428571
149,37,35-49,Male,Gloves,Accessories,90,Wyoming,Fall,2.6,Yes,Store Pickup,Yes,47,Debit Card,Annually,True,True,True,30.0,Loyal high-value,3.0
150,38,35-49,Male,Pants,Clothing,76,Delaware,Summer,3.2,Yes,Free Shipping,Yes,14,PayPal,Monthly,True,True,True,30.0,New or occasional,2.533333333333333
151,35,35-49,Male,Boots,Footwear,96,California,Fall,4.9,Yes,Standard,Yes,17,Debit Card,Every 3 Months,True,True,True,90.0,New or occasional,1.0666666666666667
152,28,25-34,Male,Sunglasses,Accessories,47,North Dakota,Fall,4.5,Yes,Next Day Air,Yes,3,Venmo,Annually,True,True,False,30.0,Promotion-led growth,1.5666666666666667
153,30,25-34,Male,Shirt,Clothing,85,South Carolina,Summer,4.3,Yes,Express,Yes,42,Venmo,Annually,True,True,True,30.0,Loyal high-value,2.8333333333333335
